Tool,File,Threads,Hash
pileuphi 8 threads,SRR30646150_hg38.bam,8,a0b21d81a7fcd5177233ac484c4aa7ad05bae91a489e631bf8a3f3d39bf1a4f3  outputs/pileuphi 8 threads_SRR30646150_hg38.bam_run_02_02_2026_09:00:01
samtools mpileup,SRR30646150_hg38.bam,1,a0b21d81a7fcd5177233ac484c4aa7ad05bae91a489e631bf8a3f3d39bf1a4f3  outputs/samtools mpileup_SRR30646150_hg38.bam_run_01_17_2026_16:10:19
pileuphi 1 threads,SRR36374445_hg38.bam,1,2860975a968c4aeef22e2fdc2c64843bf6f7e059fa3387496de8ca1853c10c5d  outputs/pileuphi 1 threads_SRR36374445_hg38.bam_run_01_23_2026_13:33:56
pileuphi 12 threads,SRR36374445_hg38.bam,12,2860975a968c4aeef22e2fdc2c64843bf6f7e059fa3387496de8ca1853c10c5d  outputs/pileuphi 12 threads_SRR36374445_hg38.bam_run_02_02_2026_09:00:01
pileuphi 4 threads,SRR36374445_hg38.bam,4,2860975a968c4aeef22e2fdc2c64843bf6f7e059fa3387496de8ca1853c10c5d  outputs/pileuphi 4 threads_SRR36374445_hg38.bam_run_02_02_2026_09:00:01
pileuphi 8 threads,SRR36374445_hg38.bam,8,2860975a968c4aeef22e2fdc2c64843bf6f7e059fa3387496de8ca1853c10c5d  outputs/pileuphi 8 threads_SRR36374445_hg38.bam_run_02_02_2026_09:00:01
samtools mpileup,SRR36374445_hg38.bam,1,2860975a968c4aeef22e2fdc2c64843bf6f7e059fa3387496de8ca1853c10c5d  outputs/samtools mpileup_SRR36374445_hg38.bam_run_01_19_2026_20:45:08
pileuphi 1 threads,DRR793869_hg38.bam,1,a3ede4677699330820e08f9b0ee8daad780482144a5757e308b625333a0b35d4  outputs/pileup-hi 1 threads_DRR793869_hg38.bam_run_04_07_2026_15:04:24
pileuphi 4 threads,DRR793869_hg38.bam,4,a3ede4677699330820e08f9b0ee8daad780482144a5757e308b625333a0b35d4  outputs/pileup-hi 4 threads_DRR793869_hg38.bam_run_03_25_2026_11:23:55
pileuphi 8 threads,DRR793869_hg38.bam,8,a3ede4677699330820e08f9b0ee8daad780482144a5757e308b625333a0b35d4  outputs/pileup-hi 8 threads_DRR793869_hg38.bam_run_03_25_2026_11:23:55
pileuphi 12 threads,DRR793869_hg38.bam,12,a3ede4677699330820e08f9b0ee8daad780482144a5757e308b625333a0b35d4  outputs/pileup-hi 12 threads_DRR793869_hg38.bam_run_03_25_2026_11:23:55
samtools mpileup,DRR793869_hg38.bam,1,a3ede4677699330820e08f9b0ee8daad780482144a5757e308b625333a0b35d4  outputs/samtools mpileup_DRR793869_hg38.bam_run_03_24_2026_08:28:55
